customer_id,first_name,last_name,email,address_id
1,gary,sam,gary.sam@gmail.com,5
2,Patricia,Johnson,patricia.johnson@gmail.com,6
3,gadan,gohan,gadan.gohan@gmail.com,7
4,Barbara,Jones,barbara.jones@gmail.com,8
5,Elizabeth,Brown,elizabeth.brown@gmail.comg,9
6,Jennifer,Davis,jennifer.davis@gmail.com,10
7,garia,gems,garia.giller@gmail.com,11
8,Susan,Wilson,susan.wilson@gmail.com,12
9,Ronny,gadhav,r.gadhav@gmail.com,13
10,Dorothy,Taylor,dorothy.taylor@gmail.com,14
11,Lisa,Anderson,lisa.anderson@gmail.com,15
12,Nancy,Thogas,nancy.thogas@gmail.com,16
13,Karen,Jackson,karen.jackson@gmail.com,17
14,Betty,White,betty.white@gmail.com,18
15,Helen,Harris,helen.harris@gmail.com,19
16,Smith,Tom,smith.tom@gmail.com,20
17,Petter,Anderw,petter.anderw@gmail.com,21
18,David,Helles,david.helles@gmail.com,22
